id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled
766,Barry Island,Barry Island,7038070,51.392361,-3.273405,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
767,Barry Links,Barry Links,7090200,56.493206,-2.745444,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
768,Barry Station,Barry Station,7038050,51.396729,-3.285023,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
769,Barton-On-Humber,Barton-On-Humber,7062070,53.688824,-0.443233,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
770,Basildon,Basildon,7074940,51.568672,0.457309,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
771,Bat & Ball,Bat & Ball,7050900,51.289703,0.194258,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
772,Bathgate,Bathgate,7093110,55.898678,-3.644019,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
773,Batley,Batley,7084840,53.709129,-1.622734,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
774,Battersby,Battersby,7079090,54.457687,-1.092945,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
775,Battersea Park,Battersea Park,7054200,51.477272,-0.148151,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
776,Battlesbridge,Battlesbridge,7068700,51.624805,0.565826,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
777,Bayford,Bayford,7060060,51.758808,-0.096074,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
778,Beaconsfield,Beaconsfield,7030470,51.611141,-0.643644,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
779,Bearley,Bearley,7024200,52.244252,-1.750259,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
780,Bearsden,Bearsden,7099660,55.917202,-4.332945,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
781,Bearsted,Bearsted,7050910,51.275589,0.57786,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
782,Beasdale,Beasdale,7088220,56.899624,-5.763864,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
783,Beaulieu Road,Beaulieu Road,7058900,50.854206,-1.505586,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
784,Beauly,Beauly,7088770,57.478,-4.4698,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
785,Bebington,Bebington,7021880,53.357651,-3.003659,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
786,Beccles,Beccles,7072580,52.458481,1.569547,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
787,Beckenham Hill,Beckenham Hill,7050760,51.424767,-0.016497,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
788,Beckenham Junction,Beckenham Junction,7050460,51.411446,-0.027144,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
789,Bedford St Johns,Bedford St Johns,7015100,52.129299,-0.467348,26718,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
790,Bedhampton,Bedhampton,7055380,50.853638,-0.996989,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
791,Bedminster,Bedminster,7032450,51.440037,-2.594184,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
792,Bedworth,Bedworth,7011650,52.479133,-1.46749,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
793,Bedwyn,Bedwyn,7030700,51.379715,-1.599077,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
794,Bekesbourne,Bekesbourne,7051980,51.261051,1.136125,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
795,Belle Vue,Belle Vue,7027850,53.462181,-2.180809,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
796,Bellgrove,Bellgrove,7098950,55.857182,-4.22547,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
797,Bellingham,Bellingham,7050620,51.433826,-0.020421,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
798,Bellshill,Bellshill,7097140,55.816605,-4.025222,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
799,Belmont,Belmont,7053500,51.344086,-0.199471,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
800,Belper,Belper,7016790,53.024555,-1.482622,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
801,Beltring,Beltring,7052270,51.204651,0.403518,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
802,Belvedere,Belvedere,7050920,51.491936,0.152088,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
803,Bempton,Bempton,7080470,54.128296,-0.180389,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
804,Ben Rhydding,Ben Rhydding,7085640,53.926167,-1.797429,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
805,Benfleet,Benfleet,7074390,51.543964,0.561273,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
